ola,fecha_aprox,marca,brand_id,metrica,valor,n_total,es_kavak
Ola 0,2021-Q2,KAVAK,1,Top_of_Mind,3.33,600,True
Ola 0,2021-Q2,KAVAK,1,Awareness_Espontanea,10.17,600,True
Ola 0,2021-Q2,KAVAK,1,Awareness_Asistida,26.17,600,True
Ola 0,2021-Q2,KAVAK,1,Consideracion,4.83,600,True
Ola 0,2021-Q2,KAVAK,1,Intencion_Compra_1a,1.5,600,True
Ola 0,2021-Q2,KAVAK,1,Intencion_Compra_Total,4.83,600,True
Ola 0,2021-Q2,KAVAK,1,NPS_Score,31.85,157,True
Ola 0,2021-Q2,KAVAK,1,NPS_Promotores_pct,13.33,600,True
Ola 0,2021-Q2,KAVAK,1,NPS_Detractores_pct,5.0,600,True
Ola 0,2021-Q2,KAVAK,1,NPS_Top2box_pct_recomendadores,50.96,157,True
Ola 0,2021-Q2,KAVAK,1,Brand_Satisfaction_Media,8.16,157,True
Ola 0,2021-Q2,KAVAK,1,Brand_Satisfaction_Top2box,46.5,157,True
Ola 0,2021-Q2,KAVAK,1,Brand_Affinity_Media,7.78,157,True
Ola 0,2021-Q2,KAVAK,1,Brand_Affinity_Top2box,42.04,157,True
Ola 0,2021-Q2,KAVAK,1,Experiencia_Compra_Pasada,14.83,600,True
Ola 0,2021-Q2,KAVAK,1,Experiencia_Venta_Pasada,11.0,600,True
Ola 0,2021-Q2,Segunda Mano Autos Usados,2,Top_of_Mind,17.67,600,False
Ola 0,2021-Q2,Segunda Mano Autos Usados,2,Awareness_Espontanea,38.33,600,False
Ola 0,2021-Q2,Segunda Mano Autos Usados,2,Awareness_Asistida,73.5,600,False
Ola 0,2021-Q2,Segunda Mano Autos Usados,2,Consideracion,26.5,600,False
Ola 0,2021-Q2,Segunda Mano Autos Usados,2,Intencion_Compra_1a,4.83,600,False
Ola 0,2021-Q2,Segunda Mano Autos Usados,2,Intencion_Compra_Total,9.67,600,False
Ola 0,2021-Q2,Segunda Mano Autos Usados,2,Experiencia_Compra_Pasada,39.83,600,False
Ola 0,2021-Q2,Segunda Mano Autos Usados,2,Experiencia_Venta_Pasada,25.5,600,False
Ola 0,2021-Q2,Mercado Libre,3,Top_of_Mind,18.67,600,False
Ola 0,2021-Q2,Mercado Libre,3,Awareness_Espontanea,49.17,600,False
Ola 0,2021-Q2,Mercado Libre,3,Awareness_Asistida,86.5,600,False
Ola 0,2021-Q2,Mercado Libre,3,Consideracion,31.17,600,False
Ola 0,2021-Q2,Mercado Libre,3,Intencion_Compra_1a,6.0,600,False
Ola 0,2021-Q2,Mercado Libre,3,Intencion_Compra_Total,13.17,600,False
Ola 0,2021-Q2,Mercado Libre,3,Experiencia_Compra_Pasada,55.0,600,False
Ola 0,2021-Q2,Mercado Libre,3,Experiencia_Venta_Pasada,37.67,600,False
Ola 0,2021-Q2,CarShop,4,Top_of_Mind,0.17,600,False
Ola 0,2021-Q2,CarShop,4,Awareness_Espontanea,0.83,600,False
Ola 0,2021-Q2,CarShop,4,Awareness_Asistida,15.17,600,False
Ola 0,2021-Q2,CarShop,4,Consideracion,2.5,600,False
Ola 0,2021-Q2,CarShop,4,Intencion_Compra_1a,1.0,600,False
Ola 0,2021-Q2,CarShop,4,Intencion_Compra_Total,2.5,600,False
Ola 0,2021-Q2,CarShop,4,Experiencia_Compra_Pasada,5.83,600,False
Ola 0,2021-Q2,CarShop,4,Experiencia_Venta_Pasada,3.83,600,False
Ola 0,2021-Q2,Vivanuncios,5,Top_of_Mind,1.17,600,False
Ola 0,2021-Q2,Vivanuncios,5,Awareness_Espontanea,9.33,600,False
Ola 0,2021-Q2,Vivanuncios,5,Awareness_Asistida,59.83,600,False
Ola 0,2021-Q2,Vivanuncios,5,Consideracion,12.67,600,False
Ola 0,2021-Q2,Vivanuncios,5,Intencion_Compra_1a,2.0,600,False
Ola 0,2021-Q2,Vivanuncios,5,Intencion_Compra_Total,6.17,600,False
Ola 0,2021-Q2,Vivanuncios,5,Experiencia_Compra_Pasada,23.5,600,False
Ola 0,2021-Q2,Vivanuncios,5,Experiencia_Venta_Pasada,14.0,600,False
Ola 0,2021-Q2,Trovit,6,Top_of_Mind,0.0,600,False
Ola 0,2021-Q2,Trovit,6,Awareness_Espontanea,1.0,600,False
Ola 0,2021-Q2,Trovit,6,Awareness_Asistida,25.17,600,False
Ola 0,2021-Q2,Trovit,6,Consideracion,2.83,600,False
Ola 0,2021-Q2,Trovit,6,Intencion_Compra_1a,0.33,600,False
Ola 0,2021-Q2,Trovit,6,Intencion_Compra_Total,2.33,600,False
Ola 0,2021-Q2,Trovit,6,Experiencia_Compra_Pasada,8.67,600,False
Ola 0,2021-Q2,Trovit,6,Experiencia_Venta_Pasada,4.83,600,False
Ola 0,2021-Q2,VendeTuAuto.com,7,Top_of_Mind,2.0,600,False
Ola 0,2021-Q2,VendeTuAuto.com,7,Awareness_Espontanea,7.67,600,False
Ola 0,2021-Q2,VendeTuAuto.com,7,Awareness_Asistida,37.17,600,False
Ola 0,2021-Q2,VendeTuAuto.com,7,Consideracion,7.0,600,False
Ola 0,2021-Q2,VendeTuAuto.com,7,Intencion_Compra_1a,1.17,600,False
Ola 0,2021-Q2,VendeTuAuto.com,7,Intencion_Compra_Total,4.33,600,False
Ola 0,2021-Q2,VendeTuAuto.com,7,Experiencia_Compra_Pasada,16.0,600,False
Ola 0,2021-Q2,VendeTuAuto.com,7,Experiencia_Venta_Pasada,10.17,600,False
Ola 0,2021-Q2,Lotes de autos usados,8,Top_of_Mind,0.83,600,False
Ola 0,2021-Q2,Lotes de autos usados,8,Awareness_Espontanea,7.0,600,False
Ola 0,2021-Q2,Lotes de autos usados,8,Awareness_Asistida,46.33,600,False
Ola 0,2021-Q2,Lotes de autos usados,8,Consideracion,14.33,600,False
Ola 0,2021-Q2,Lotes de autos usados,8,Intencion_Compra_1a,1.5,600,False
Ola 0,2021-Q2,Lotes de autos usados,8,Intencion_Compra_Total,5.0,600,False
Ola 0,2021-Q2,Lotes de autos usados,8,Experiencia_Compra_Pasada,17.67,600,False
Ola 0,2021-Q2,Lotes de autos usados,8,Experiencia_Venta_Pasada,9.83,600,False
Ola 0,2021-Q2,Seminuevos (Agencias),9,Top_of_Mind,1.5,600,False
Ola 0,2021-Q2,Seminuevos (Agencias),9,Awareness_Espontanea,2.83,600,False
Ola 0,2021-Q2,Seminuevos (Agencias),9,Awareness_Asistida,69.33,600,False
Ola 0,2021-Q2,Seminuevos (Agencias),9,Consideracion,34.33,600,False
Ola 0,2021-Q2,Seminuevos (Agencias),9,Intencion_Compra_1a,6.33,600,False
Ola 0,2021-Q2,Seminuevos (Agencias),9,Intencion_Compra_Total,12.83,600,False
Ola 0,2021-Q2,Seminuevos (Agencias),9,Experiencia_Compra_Pasada,44.33,600,False
Ola 0,2021-Q2,Seminuevos (Agencias),9,Experiencia_Venta_Pasada,37.5,600,False
Ola 0,2021-Q2,Clasificados periódicos,10,Top_of_Mind,0.0,600,False
Ola 0,2021-Q2,Clasificados periódicos,10,Awareness_Espontanea,3.5,600,False
Ola 0,2021-Q2,Clasificados periódicos,10,Awareness_Asistida,42.83,600,False
Ola 0,2021-Q2,Clasificados periódicos,10,Consideracion,11.33,600,False
Ola 0,2021-Q2,Clasificados periódicos,10,Intencion_Compra_1a,0.67,600,False
Ola 0,2021-Q2,Clasificados periódicos,10,Intencion_Compra_Total,2.5,600,False
Ola 0,2021-Q2,Clasificados periódicos,10,Experiencia_Compra_Pasada,14.83,600,False
Ola 0,2021-Q2,Clasificados periódicos,10,Experiencia_Venta_Pasada,7.5,600,False
Ola 0,2021-Q2,Autocosmos.com,11,Top_of_Mind,1.0,600,False
Ola 0,2021-Q2,Autocosmos.com,11,Awareness_Espontanea,5.0,600,False
Ola 0,2021-Q2,Autocosmos.com,11,Awareness_Asistida,27.0,600,False
Ola 0,2021-Q2,Autocosmos.com,11,Consideracion,5.67,600,False
Ola 0,2021-Q2,Autocosmos.com,11,Intencion_Compra_1a,1.17,600,False
Ola 0,2021-Q2,Autocosmos.com,11,Intencion_Compra_Total,3.83,600,False
Ola 0,2021-Q2,Autocosmos.com,11,Experiencia_Compra_Pasada,11.83,600,False
Ola 0,2021-Q2,Autocosmos.com,11,Experiencia_Venta_Pasada,7.17,600,False
Ola 0,2021-Q2,Mercado/Tianguis,12,Top_of_Mind,1.83,600,False
Ola 0,2021-Q2,Mercado/Tianguis,12,Awareness_Espontanea,8.0,600,False
Ola 0,2021-Q2,Mercado/Tianguis,12,Awareness_Asistida,55.5,600,False
Ola 0,2021-Q2,Mercado/Tianguis,12,Consideracion,21.5,600,False
Ola 0,2021-Q2,Mercado/Tianguis,12,Intencion_Compra_1a,3.33,600,False
Ola 0,2021-Q2,Mercado/Tianguis,12,Intencion_Compra_Total,7.0,600,False
Ola 0,2021-Q2,Mercado/Tianguis,12,Experiencia_Compra_Pasada,19.33,600,False
Ola 0,2021-Q2,Mercado/Tianguis,12,Experiencia_Venta_Pasada,10.83,600,False
Ola 0,2021-Q2,Trato directo,13,Top_of_Mind,1.0,600,False
Ola 0,2021-Q2,Trato directo,13,Awareness_Espontanea,4.5,600,False
Ola 0,2021-Q2,Trato directo,13,Awareness_Asistida,39.67,600,False
Ola 0,2021-Q2,Trato directo,13,Consideracion,22.17,600,False
Ola 0,2021-Q2,Trato directo,13,Intencion_Compra_1a,3.67,600,False
Ola 0,2021-Q2,Trato directo,13,Intencion_Compra_Total,5.83,600,False
Ola 0,2021-Q2,Trato directo,13,Experiencia_Compra_Pasada,15.17,600,False
Ola 0,2021-Q2,Trato directo,13,Experiencia_Venta_Pasada,11.5,600,False
Ola 0,2021-Q2,Cambiauto.mx,14,Top_of_Mind,0.0,600,False
Ola 0,2021-Q2,Cambiauto.mx,14,Awareness_Espontanea,0.33,600,False
Ola 0,2021-Q2,Cambiauto.mx,14,Awareness_Asistida,13.0,600,False
Ola 0,2021-Q2,Cambiauto.mx,14,Consideracion,2.33,600,False
Ola 0,2021-Q2,Cambiauto.mx,14,Intencion_Compra_1a,0.33,600,False
Ola 0,2021-Q2,Cambiauto.mx,14,Intencion_Compra_Total,2.67,600,False
Ola 0,2021-Q2,Cambiauto.mx,14,Experiencia_Compra_Pasada,5.5,600,False
Ola 0,2021-Q2,Cambiauto.mx,14,Experiencia_Venta_Pasada,4.33,600,False
Ola 0,2021-Q2,Tipi Top,15,Top_of_Mind,0.0,600,False
Ola 0,2021-Q2,Tipi Top,15,Awareness_Espontanea,0.0,600,False
Ola 0,2021-Q2,Tipi Top,15,Awareness_Asistida,5.33,600,False
Ola 0,2021-Q2,Tipi Top,15,Consideracion,0.83,600,False
Ola 0,2021-Q2,Tipi Top,15,Intencion_Compra_1a,0.33,600,False
Ola 0,2021-Q2,Tipi Top,15,Intencion_Compra_Total,1.17,600,False
Ola 0,2021-Q2,Tipi Top,15,Experiencia_Compra_Pasada,2.17,600,False
Ola 0,2021-Q2,Tipi Top,15,Experiencia_Venta_Pasada,1.67,600,False
Ola 0,2021-Q2,soloautos.mx,16,Top_of_Mind,1.0,600,False
Ola 0,2021-Q2,soloautos.mx,16,Awareness_Espontanea,6.33,600,False
Ola 0,2021-Q2,soloautos.mx,16,Awareness_Asistida,31.0,600,False
Ola 0,2021-Q2,soloautos.mx,16,Consideracion,6.17,600,False
Ola 0,2021-Q2,soloautos.mx,16,Intencion_Compra_1a,1.67,600,False
Ola 0,2021-Q2,soloautos.mx,16,Intencion_Compra_Total,4.67,600,False
Ola 0,2021-Q2,soloautos.mx,16,Experiencia_Compra_Pasada,13.67,600,False
Ola 0,2021-Q2,soloautos.mx,16,Experiencia_Venta_Pasada,8.67,600,False
Ola 0,2021-Q2,Car One,17,Top_of_Mind,0.0,600,False
Ola 0,2021-Q2,Car One,17,Awareness_Espontanea,0.0,600,False
Ola 0,2021-Q2,Car One,17,Awareness_Asistida,8.0,600,False
Ola 0,2021-Q2,Car One,17,Consideracion,1.33,600,False
Ola 0,2021-Q2,Car One,17,Intencion_Compra_1a,0.33,600,False
Ola 0,2021-Q2,Car One,17,Intencion_Compra_Total,1.5,600,False
Ola 0,2021-Q2,Car One,17,Experiencia_Compra_Pasada,2.17,600,False
Ola 0,2021-Q2,Car One,17,Experiencia_Venta_Pasada,1.17,600,False
Ola 0,2021-Q2,Facebook Marketplace,78,Top_of_Mind,0.83,600,False
Ola 0,2021-Q2,Facebook Marketplace,78,Awareness_Espontanea,5.33,600,False
Ola 0,2021-Q2,Facebook Marketplace,78,Awareness_Asistida,0.0,600,False
Ola 0,2021-Q2,Facebook Marketplace,78,Consideracion,,600,False
Ola 0,2021-Q2,Facebook Marketplace,78,Intencion_Compra_1a,,600,False
Ola 0,2021-Q2,Facebook Marketplace,78,Intencion_Compra_Total,0.0,600,False
Ola 0,2021-Q2,Facebook Marketplace,78,Experiencia_Compra_Pasada,,600,False
Ola 0,2021-Q2,Facebook Marketplace,78,Experiencia_Venta_Pasada,,600,False
Ola 0,2021-Q2,O|X Autos,102,Top_of_Mind,0.0,600,False
Ola 0,2021-Q2,O|X Autos,102,Awareness_Espontanea,0.17,600,False
Ola 0,2021-Q2,O|X Autos,102,Awareness_Asistida,0.0,600,False
Ola 0,2021-Q2,O|X Autos,102,Consideracion,,600,False
Ola 0,2021-Q2,O|X Autos,102,Intencion_Compra_1a,,600,False
Ola 0,2021-Q2,O|X Autos,102,Intencion_Compra_Total,0.0,600,False
Ola 0,2021-Q2,O|X Autos,102,Experiencia_Compra_Pasada,,600,False
Ola 0,2021-Q2,O|X Autos,102,Experiencia_Venta_Pasada,,600,False
Ola 0,2021-Q2,SemiNuevos.com,111,Top_of_Mind,2.17,600,False
Ola 0,2021-Q2,SemiNuevos.com,111,Awareness_Espontanea,6.0,600,False
Ola 0,2021-Q2,SemiNuevos.com,111,Awareness_Asistida,0.0,600,False
Ola 0,2021-Q2,SemiNuevos.com,111,Consideracion,,600,False
Ola 0,2021-Q2,SemiNuevos.com,111,Intencion_Compra_1a,,600,False
Ola 0,2021-Q2,SemiNuevos.com,111,Intencion_Compra_Total,0.0,600,False
Ola 0,2021-Q2,SemiNuevos.com,111,Experiencia_Compra_Pasada,,600,False
Ola 0,2021-Q2,SemiNuevos.com,111,Experiencia_Venta_Pasada,,600,False
Ola 0,2021-Q2,Odetta,384,Top_of_Mind,0.0,600,False
Ola 0,2021-Q2,Odetta,384,Awareness_Espontanea,0.0,600,False
Ola 0,2021-Q2,Odetta,384,Awareness_Asistida,0.0,600,False
Ola 0,2021-Q2,Odetta,384,Consideracion,,600,False
Ola 0,2021-Q2,Odetta,384,Intencion_Compra_1a,,600,False
Ola 0,2021-Q2,Odetta,384,Intencion_Compra_Total,0.0,600,False
Ola 0,2021-Q2,Odetta,384,Experiencia_Compra_Pasada,,600,False
Ola 0,2021-Q2,Odetta,384,Experiencia_Venta_Pasada,,600,False
Ola 0,2021-Q2,Creditas,457,Top_of_Mind,0.0,600,False
Ola 0,2021-Q2,Creditas,457,Awareness_Espontanea,0.0,600,False
Ola 0,2021-Q2,Creditas,457,Awareness_Asistida,0.0,600,False
Ola 0,2021-Q2,Creditas,457,Consideracion,,600,False
Ola 0,2021-Q2,Creditas,457,Intencion_Compra_1a,,600,False
Ola 0,2021-Q2,Creditas,457,Intencion_Compra_Total,0.0,600,False
Ola 0,2021-Q2,Creditas,457,Experiencia_Compra_Pasada,,600,False
Ola 0,2021-Q2,Creditas,457,Experiencia_Venta_Pasada,,600,False
Ola 0,2021-Q2,Caranty,595,Top_of_Mind,0.0,600,False
Ola 0,2021-Q2,Caranty,595,Awareness_Espontanea,0.0,600,False
Ola 0,2021-Q2,Caranty,595,Awareness_Asistida,0.0,600,False
Ola 0,2021-Q2,Caranty,595,Consideracion,,600,False
Ola 0,2021-Q2,Caranty,595,Intencion_Compra_1a,,600,False
Ola 0,2021-Q2,Caranty,595,Intencion_Compra_Total,0.0,600,False
Ola 0,2021-Q2,Caranty,595,Experiencia_Compra_Pasada,,600,False
Ola 0,2021-Q2,Caranty,595,Experiencia_Venta_Pasada,,600,False
Ola 0,2021-Q2,Wahu,820,Top_of_Mind,0.0,600,False
Ola 0,2021-Q2,Wahu,820,Awareness_Espontanea,0.0,600,False
Ola 0,2021-Q2,Wahu,820,Awareness_Asistida,0.0,600,False
Ola 0,2021-Q2,Wahu,820,Consideracion,,600,False
Ola 0,2021-Q2,Wahu,820,Intencion_Compra_1a,,600,False
Ola 0,2021-Q2,Wahu,820,Intencion_Compra_Total,0.0,600,False
Ola 0,2021-Q2,Wahu,820,Experiencia_Compra_Pasada,,600,False
Ola 0,2021-Q2,Wahu,820,Experiencia_Venta_Pasada,,600,False
Ola 1,2021-Q4,KAVAK,1,Top_of_Mind,5.0,600,True
Ola 1,2021-Q4,KAVAK,1,Awareness_Espontanea,14.67,600,True
Ola 1,2021-Q4,KAVAK,1,Awareness_Asistida,34.0,600,True
Ola 1,2021-Q4,KAVAK,1,Consideracion,6.33,600,True
Ola 1,2021-Q4,KAVAK,1,Intencion_Compra_1a,0.5,600,True
Ola 1,2021-Q4,KAVAK,1,Intencion_Compra_Total,4.83,600,True
Ola 1,2021-Q4,KAVAK,1,NPS_Score,35.78,204,True
Ola 1,2021-Q4,KAVAK,1,NPS_Promotores_pct,17.67,600,True
Ola 1,2021-Q4,KAVAK,1,NPS_Detractores_pct,5.5,600,True
Ola 1,2021-Q4,KAVAK,1,NPS_Top2box_pct_recomendadores,51.96,204,True
Ola 1,2021-Q4,KAVAK,1,Brand_Satisfaction_Media,8.41,204,True
Ola 1,2021-Q4,KAVAK,1,Brand_Satisfaction_Top2box,56.86,204,True
